"source","target","correlation","direct","cor"
"fun_ASV_857","bac_ASV_1909",0.824111616923897,"undirected","+"
"fun_ASV_860","bac_ASV_1909",0.812545181347977,"undirected","+"
"fun_ASV_700","bac_ASV_1909",0.854077253218884,"undirected","+"
"fun_ASV_895","bac_ASV_1909",0.830829854189373,"undirected","+"
"fun_ASV_1460","bac_ASV_1909",0.816062692955545,"undirected","+"
"fun_ASV_1147","bac_ASV_1909",0.888171680910668,"undirected","+"
"fun_ASV_1558","bac_ASV_1909",0.80700605754,"undirected","+"
"fun_ASV_43","bac_ASV_1099",0.802040076582683,"undirected","+"
"fun_ASV_78","bac_ASV_1099",0.808458700396434,"undirected","+"
"fun_ASV_70","bac_ASV_1099",-0.806052996618583,"undirected","-"
"fun_ASV_233","bac_ASV_1099",0.883348124500909,"undirected","+"
"fun_ASV_261","bac_ASV_1099",0.861776061776062,"undirected","+"
"fun_ASV_479","bac_ASV_1099",0.885249223325347,"undirected","+"
"fun_ASV_309","bac_ASV_1099",0.836150941581471,"undirected","+"
"fun_ASV_584","bac_ASV_1099",0.808446716709127,"undirected","+"
"fun_ASV_857","bac_ASV_1099",0.800338145200887,"undirected","+"
"fun_ASV_860","bac_ASV_1099",0.899129790589919,"undirected","+"
"fun_ASV_895","bac_ASV_1099",0.866749128395915,"undirected","+"
"fun_ASV_1460","bac_ASV_1099",0.807381852774621,"undirected","+"
"fun_ASV_1147","bac_ASV_1099",0.859094326815971,"undirected","+"
"fun_ASV_1166","bac_ASV_1099",0.881306206583078,"undirected","+"
"fun_ASV_1558","bac_ASV_1099",0.841971823768468,"undirected","+"
"fun_ASV_1743","bac_ASV_1099",0.828211303666021,"undirected","+"
"fun_ASV_78","bac_ASV_2017",0.817565889025553,"undirected","+"
"fun_ASV_233","bac_ASV_2017",0.834763948497854,"undirected","+"
"fun_ASV_261","bac_ASV_2017",0.854853023710557,"undirected","+"
"fun_ASV_479","bac_ASV_2017",0.886439844429821,"undirected","+"
"fun_ASV_309","bac_ASV_2017",0.867615517020478,"undirected","+"
"fun_ASV_278","bac_ASV_2017",0.800233890721493,"undirected","+"
"fun_ASV_857","bac_ASV_2017",0.829036586746152,"undirected","+"
"fun_ASV_860","bac_ASV_2017",0.895206704125802,"undirected","+"
"fun_ASV_895","bac_ASV_2017",0.867349847780115,"undirected","+"
"fun_ASV_1147","bac_ASV_2017",0.886412925106885,"undirected","+"
"fun_ASV_1558","bac_ASV_2017",0.850529979744404,"undirected","+"
"fun_ASV_1743","bac_ASV_2017",0.93395083063618,"undirected","+"
"fun_ASV_233","bac_ASV_4591",0.800307596116335,"undirected","+"
"fun_ASV_261","bac_ASV_4591",0.800338145200887,"undirected","+"
"fun_ASV_510","bac_ASV_4591",0.826808472960449,"undirected","+"
"fun_ASV_278","bac_ASV_4591",0.817372574314053,"undirected","+"
"fun_ASV_860","bac_ASV_4591",0.835872776613342,"undirected","+"
"fun_ASV_895","bac_ASV_4591",0.839734376737852,"undirected","+"
"fun_ASV_1166","bac_ASV_4591",0.843014128728414,"undirected","+"
"fun_ASV_1558","bac_ASV_4591",0.86362334829323,"undirected","+"
"fun_ASV_61","bac_ASV_465",0.82485112962083,"undirected","+"
"fun_ASV_515","bac_ASV_465",-0.82849845202977,"undirected","-"
"fun_ASV_633","bac_ASV_465",-0.800052153247632,"undirected","-"
"fun_ASV_860","bac_ASV_465",0.839234589596833,"undirected","+"
"fun_ASV_895","bac_ASV_465",0.871947871470281,"undirected","+"
"fun_ASV_1558","bac_ASV_465",0.800368433191675,"undirected","+"
"fun_ASV_1743","bac_ASV_465",0.822600889669222,"undirected","+"
"fun_ASV_233","bac_ASV_4802",0.827896995708154,"undirected","+"
"fun_ASV_261","bac_ASV_4802",0.824729631446471,"undirected","+"
"fun_ASV_479","bac_ASV_4802",0.876479846177801,"undirected","+"
"fun_ASV_309","bac_ASV_4802",0.83970735469437,"undirected","+"
"fun_ASV_860","bac_ASV_4802",0.831012117287704,"undirected","+"
"fun_ASV_895","bac_ASV_4802",0.810909857685332,"undirected","+"
"fun_ASV_233","bac_ASV_2945",0.849356223175966,"undirected","+"
"fun_ASV_683","bac_ASV_2945",0.814303937151761,"undirected","+"
"fun_ASV_860","bac_ASV_2945",0.809907047642302,"undirected","+"
"fun_ASV_479","bac_ASV_468",-0.855268500596495,"undirected","-"
"fun_ASV_895","bac_ASV_551",0.826243980738363,"undirected","+"
"fun_ASV_1460","bac_ASV_2710",0.812545181347977,"undirected","+"
"fun_ASV_1147","bac_ASV_4608",0.828373983582029,"undirected","+"
