ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_10165	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10166	Fungi	Glomeromycota	Glomeromycetes				
ASV_10167	Fungi	Glomeromycota	Glomeromycetes				
ASV_10168	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Glom_1B13
ASV_10169	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10170	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Glom_1B13
ASV_1017	Fungi	Glomeromycota	Glomeromycetes				
ASV_10171	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	
ASV_10172	Fungi	Glomeromycota	Glomeromycetes				
ASV_10173	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10174	Fungi	Glomeromycota	Glomeromycetes				
ASV_10175	Fungi	Glomeromycota	Glomeromycetes				
ASV_10176	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10177	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10178	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10179	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10180	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_1018	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10181	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10182	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10183	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10184	Fungi	Glomeromycota	Glomeromycetes				
ASV_10185	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10186	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10187	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10188	Fungi	Glomeromycota	Glomeromycetes				
ASV_10189	Fungi	Glomeromycota	Glomeromycetes				
ASV_10190	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_1019	Fungi	Glomeromycota	Glomeromycetes				
ASV_10191	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10192	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10193	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10194	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10195	Fungi	Glomeromycota	Glomeromycetes				
ASV_10196	Fungi	Glomeromycota	Glomeromycetes				
ASV_10197	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	NES25
ASV_10198	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10199	Fungi	Glomeromycota	Glomeromycetes				
ASV_102	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10200	Fungi	Glomeromycota	Glomeromycetes				
ASV_1020	Fungi	Glomeromycota	Glomeromycetes				
ASV_10201	Fungi	Glomeromycota	Glomeromycetes				
ASV_10202	Fungi	Glomeromycota	Glomeromycetes				
ASV_10203	Fungi	Glomeromycota	Glomeromycetes				
ASV_10204	Fungi	Glomeromycota	Glomeromycetes				
ASV_10205	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10206	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10207	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10208	Fungi	Glomeromycota	Glomeromycetes				
ASV_10209	Fungi	Glomeromycota	Glomeromycetes				
ASV_10210	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Alguacil12a_Para_1
ASV_1021	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10211	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Scutellospora	Scut1
ASV_10212	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Whitfield_type_17
ASV_10213	Fungi	Glomeromycota	Glomeromycetes				
ASV_10214	Fungi	Glomeromycota	Glomeromycetes				
ASV_10215	Fungi	Glomeromycota	Glomeromycetes				
ASV_10216	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10217	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10218	Fungi	Glomeromycota	Glomeromycetes				
ASV_10219	Fungi	Glomeromycota	Glomeromycetes				
ASV_10220	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_1022	Fungi	Glomeromycota	Glomeromycetes				
ASV_10221	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10222	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10223	Fungi	Glomeromycota	Glomeromycetes				
ASV_10224	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	
ASV_10225	Fungi	Glomeromycota	Glomeromycetes				
ASV_10226	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10227	Fungi	Glomeromycota	Glomeromycetes				
ASV_10228	Fungi	Glomeromycota	Glomeromycetes				
ASV_10	Fungi	Glomeromycota	Glomeromycetes				
ASV_10229	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10230	Fungi	Glomeromycota	Glomeromycetes				
ASV_1023	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Alguacil12b_ACA1
ASV_10231	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10232	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10233	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10234	Fungi	Glomeromycota	Glomeromycetes				
ASV_10235	Fungi	Glomeromycota	Glomeromycetes				
ASV_10236	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10237	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	MO_GC2
ASV_10238	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10239	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10240	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10241	Fungi	Glomeromycota	Glomeromycetes				
ASV_10242	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10243	Fungi	Glomeromycota	Glomeromycetes				
ASV_10244	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10245	Fungi	Glomeromycota	Glomeromycetes				
ASV_1024	Fungi	Glomeromycota	Glomeromycetes				
ASV_10246	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10247	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10248	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10249	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10250	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_1025	Fungi	Glomeromycota	Glomeromycetes				
ASV_10251	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10252	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10253	Fungi	Glomeromycota	Glomeromycetes				
ASV_10254	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10255	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10256	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10257	Fungi	Glomeromycota	Glomeromycetes				
ASV_10258	Fungi	Glomeromycota	Glomeromycetes				
ASV_10259	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_1026	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	lamellosum
ASV_10260	Fungi	Glomeromycota	Glomeromycetes				
ASV_10261	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10262	Fungi	Glomeromycota	Glomeromycetes				
ASV_10263	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10264	Fungi	Glomeromycota	Glomeromycetes				
ASV_10265	Fungi	Glomeromycota	Glomeromycetes				
ASV_10266	Fungi	Glomeromycota	Glomeromycetes				
ASV_10267	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10268	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Wirsel_OTU16
ASV_10269	Fungi	Glomeromycota	Glomeromycetes				
ASV_1027	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10270	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10271	Fungi	Glomeromycota	Glomeromycetes				
ASV_10272	Fungi	Glomeromycota	Glomeromycetes				
ASV_10273	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10274	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10275	Fungi	Glomeromycota	Glomeromycetes				
ASV_10276	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10277	Fungi	Glomeromycota	Glomeromycetes				
ASV_10278	Fungi	Glomeromycota	Glomeromycetes				
ASV_10279	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10280	Fungi	Glomeromycota	Glomeromycetes				
ASV_1028	Fungi	Glomeromycota	Glomeromycetes				
ASV_10281	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10282	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10283	Fungi	Glomeromycota	Glomeromycetes				
ASV_10284	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10285	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Glom_1B13
ASV_10286	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10287	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10288	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10289	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10290	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_1029	Fungi	Glomeromycota	Glomeromycetes				
