"Group","Process","Observed","Mean","Stdev","Min","Quartile25","Median","Quartile75","Max","Lower.whisker","Lower.hinge","Median","Upper.hinge","Upper.whisker","Outlier1","Outlier2","Outlier3","Outlier4","Outlier5","Outlier6"
"Root_vs_Original","Homogenizing.Dispersal","0.004007003","0.004021165","0.001445537","0.001457201","0.003092447","0.003735982","0.004746891","0.01142657","0.001457201","0.003092447","0.003735982","0.004746891","0.007125014","0.01142657","0.009155463",NA,NA,NA,NA
"Root_vs_Original","Drift.and.Others","0.460151267","0.459279881","0.022893752","0.398118936","0.443153756","0.459823724","0.469574627","0.53018296","0.405961902","0.443153756","0.459823724","0.469574627","0.506865639","0.53018296","0.398118936",NA,NA,NA,NA
"Root_vs_Original","Stochasticity","0.859632287","0.859240812","0.015742178","0.808177238","0.848964992","0.859319220","0.870399798","0.88969693","0.821422962","0.848964992","0.859319220","0.870399798","0.889696930","0.80817724",NA,NA,NA,NA,NA
"Rhizosphere_vs_Rootzone","Heterogeneous.Selection","0.004724206","0.004696416","0.0009714852","0.002320356","0.004071039","0.004604914","0.005361534","0.007844407","0.002320356","0.004071039","0.004604914","0.005361534","0.006691934","0.007844407",NA,NA,NA,NA,NA
"Rhizosphere_vs_Rootzone","Homogeneous.Selection","0.165718683","0.168068762","0.0207990733","0.117470974","0.154002580","0.167879435","0.181397059","0.221172176","0.117470974","0.154002580","0.167879435","0.181397059","0.221172176",NA,NA,NA,NA,NA,NA
"Rhizosphere_vs_Rootzone","Dispersal.Limitation","0.219417316","0.217379395","0.0272980446","0.149021812","0.196383776","0.222338494","0.234320876","0.283439391","0.149021812","0.196383776","0.222338494","0.234320876","0.283439391",NA,NA,NA,NA,NA,NA
"Rhizosphere_vs_Rootzone","Homogenizing.Dispersal","0.015659119","0.014983498","0.0035110478","0.006827156","0.012795345","0.014626097","0.017364184","0.026615931","0.006827156","0.012795345","0.014626097","0.017364184","0.022877938","0.026615931",NA,NA,NA,NA,NA
"Rhizosphere_vs_Rootzone","Drift.and.Others","0.594480676","0.594871928","0.0198387283","0.550096664","0.582455031","0.595606379","0.608555512","0.641189598","0.550096664","0.582455031","0.595606379","0.608555512","0.641189598",NA,NA,NA,NA,NA,NA
"Rhizosphere_vs_Rootzone","Stochasticity","0.829557112","0.827234822","0.0214127349","0.773446000","0.813243262","0.826896853","0.841368532","0.880053936","0.773446000","0.813243262","0.826896853","0.841368532","0.880053936",NA,NA,NA,NA,NA,NA
"Rhizosphere_vs_Original","Heterogeneous.Selection","0.006059275","0.00597062","0.001021583","0.003362426","0.005222823","0.005985604","0.006643008","0.008988649","0.003362426","0.005222823","0.005985604","0.006643008","0.008431508","0.008988649",NA,NA,NA,NA,NA
